id,name,formula,smiles,charge
1,rId0,,,1
2,NH3OH+,,,1
3,K+,,,1
4,NH4+,,,1
5,NH2NH3+,,,1
6,rId2,,,1
7,rId3,,,1
8,rId4,,,1
9,N2H5+,,,1
10,rId5,,,1
11,rId6,,,1
12,rId21,,,1
13,rId22,,,1
14,rId23,,,1
15,rId30,,,1
16,rId31,,,1
17,rId32,,,1
18,rId33,,,1
19,rId34,,,1
20,rId36,,,1
21,rId37,,,1
22,rId39,,,1
23,rId40,,,1
24,rId41,,,1
25,Na+,,,1
26,rId46,,,1
27,rId47,,,1
28,rId48,,,1
29,rId49,,,1
30,rId50,,,1
31,rId51,,,1
32,rId45,,,1
33,H+,,,1
34,rId63,,,1
35,rId66,,,1
36,rId67,,,1
37,rId68,,,1
38,rId71,,,1
39,rId77,,,1
40,rId80,,,1
41,rId81,,,1
42,rId82,,,1
43,rId83,,,1
44,rId84,,,1
45,rId85,,,1
46,rId95,,,1
47,rId97,,,1
48,rId98,,,1
49,rId100,,,1
50,rId102,,,1
51,rId104,,,1
52,rId106,,,1
53,rId107,,,1
54,rId108,,,1
55,rId109,,,1
56,rId110,,,1
57,rId111,,,1
58,rId113,,,1
59,rId114,,,1
60,rId115,,,1
61,rId122,,,1
62,rId124,,,1
63,rId125,,,1
64,rId126,,,1
65,rId127,,,1
66,rId128,,,1
67,rId129,,,1
68,rId130,,,1
69,rId131,,,1
70,rId133,,,1
71,rId134,,,1
72,rId135,,,1
73,rId137,,,1
74,rId139,,,1
75,rId140,,,1
76,rId142,,,1
77,rId143,,,1
78,rId144,,,1
79,rId145,,,1
80,rId146,,,1
81,rId147,,,1
82,rId148,,,1
83,rId149,,,1
84,rId150,,,1
85,rId151,,,1
86,rId153,,,1
87,rId155,,,1
88,rId158,,,1
89,rId159,,,1
90,rId161,,,1
91,rId163,,,1
92,rId164,,,1
93,rId165,,,1
94,rId166,,,1
95,rId167,,,1
96,rId168,,,1
97,rId169,,,1
98,rId170,,,1
99,rId172,,,1
100,rId173,,,1
101,rId177,,,1
102,rId178,,,1
103,rId179,,,1
104,rId180,,,1
105,rId181,,,1
106,rId182,,,1
107,rId183,,,1
108,rId184,,,1
109,rId186,,,1
110,rId187,,,1
111,rId188,,,1
112,rId190,,,1
113,rId192,,,1
114,rId195,,,1
115,rId197,,,1
116,rId198,,,1
117,rId199,,,1
118,rId200,,,1
119,rId201,,,1
120,rId203,,,1
121,rId204,,,1
122,rId205,,,1
123,rId206,,,1
124,rId207,,,1
125,rId208,,,1
126,rId209,,,1
127,rId210,,,1
128,rId211,,,1
129,rId212,,,1
130,rId213,,,1
131,rId215,,,1
132,rId216,,,1
133,rId217,,,1
134,rId218,,,1
135,rId220,,,1
136,rId221,,,1
137,rId222,,,1
138,rId223,,,1
139,rId224,,,1
140,rId225,,,1
141,rId226,,,1
142,rId228,,,1
143,rId229,,,1
144,rId230,,,1
145,rId232,,,1
146,rId244,,,1
147,rId245,,,1
148,rId246,,,1
149,rId247,,,1
150,rId248,,,1
151,rId249,,,1
152,rId250,,,1
153,rId251,,,1
154,rId252,,,1
155,rId253,,,1
156,rId254,,,1
157,rId268,,,1
158,rId269,,,1
159,rId270,,,1
160,rId271,,,1
161,rId272,,,1
162,rId273,,,1
163,rId274,,,1
164,rId276,,,1
165,rId277,,,1
166,rId278,,,1
167,rId279,,,1
168,rId280,,,1
169,rId281,,,1
170,rId282,,,1
171,rId284,,,1
172,rId285,,,1
173,rId286,,,1
174,rId287,,,1
175,rId288,,,1
176,rId289,,,1
177,rId290,,,1
178,rId291,,,1
179,rId292,,,1
180,rId294,,,1
181,rId301,,,1
182,rId302,,,1
183,rId304,,,1
184,rId305,,,1
185,rId306,,,1
186,rId307,,,1
187,rId308,,,1
188,rId309,,,1
189,rId310,,,1
190,rId311,,,1
191,rId312,,,1
192,rId313,,,1
193,rId314,,,1
194,rId315,,,1
195,rId316,,,1
196,rId317,,,1
197,rId318,,,1
198,rId326,,,1
199,rId327,,,1
200,rId328,,,1
201,rId329,,,1
202,rId337,,,1
203,rId339,,,1
204,rId340,,,1
205,rId342,,,1
206,rId343,,,1
207,rId344,,,1
208,rId345,,,1
209,rId346,,,1
210,rId347,,,1
211,rId348,,,1
212,rId349,,,1
213,rId350,,,1
214,rId351,,,1
215,rId352,,,1
216,rId356,,,1
217,rId358,,,1
218,rId359,,,1
219,rId361,,,1
220,rId363,,,1
221,rId365,,,1
222,rId366,,,1
223,rId367,,,1
224,rId368,,,1
225,rId369,,,1
226,rId370,,,1
227,rId371,,,1
228,rId372,,,1
229,rId373,,,1
230,rId377,,,1
231,rId379,,,1
232,rId382,,,1
233,rId383,,,1
234,rId384,,,1
235,rId386,,,1
236,rId388,,,1
237,rId389,,,1
238,rId391,,,1
239,rId392,,,1
240,rId393,,,1
241,rId394,,,1
242,rId395,,,1
243,rId398,,,1
244,rId401,,,1
245,rId406,,,1
246,rId407,,,1
247,rId408,,,1
248,rId409,,,1
249,rId410,,,1
250,rId411,,,1
251,rId413,,,1
252,rId414,,,1
253,rId434,,,1
254,rId426,,,1
255,rId432,,,1
256,rId436,,,1
257,rId441,,,1
258,rId442,,,1
259,rId443,,,1
260,rId451,,,1
261,rId450,,,1
262,rId452,,,1
263,rId454,,,1
264,rId455,,,1
265,NO3-,,,-1
266,rId1,,,-1
267,rId7,,,-1
268,rId8,,,-1
269,rId9,,,-1
270,rId10,,,-1
271,rId11,,,-1
272,rId12,,,-1
273,rId13,,,-1
274,rId14,,,-1
275,rId15,,,-1
276,rId16,,,-1
277,rId17,,,-1
278,rId18,,,-1
279,rId19,,,-1
280,rId20,,,-1
281,rId24,,,-1
282,rId25,,,-1
283,rId26,,,-1
284,rId27,,,-1
285,rId28,,,-1
286,rId29,,,-1
287,rId35,,,-1
288,rId38,,,-1
289,rId43,,,-1
290,rId42,,,-1
291,rId44,,,-1
292,rId52,,,-1
293,rId53,,,-1
294,rId54,,,-1
295,rId55,,,-1
296,rId56,,,-1
297,rId57,,,-1
298,rId58,,,-1
299,rId59,,,-1
300,rId60,,,-1
301,rId61,,,-1
302,rId62,,,-1
303,rId64,,,-1
304,rId65,,,-1
305,rId69,,,-1
306,rId70,,,-1
307,rId72,,,-1
308,rId73,,,-1
309,rId74,,,-1
310,rId75,,,-1
311,rId76,,,-1
312,rId78,,,-1
313,rId79,,,-1
314,N3-,,,-1
315,rId86,,,-1
316,rId87,,,-1
317,rId88,,,-1
318,rId89,,,-1
319,rId90,,,-1
320,rId91,,,-1
321,rId92,,,-1
322,rId93,,,-1
323,rId94,,,-1
324,rId96,,,-1
325,rId99,,,-1
326,rId101,,,-1
327,rId103,,,-1
328,rId105,,,-1
329,rId112,,,-1
330,rId116,,,-1
331,rId117,,,-1
332,rId118,,,-1
333,rId119,,,-1
334,rId120,,,-1
335,rId121,,,-1
336,rId123,,,-1
337,rId132,,,-1
338,rId136,,,-1
339,rId138,,,-1
340,rId141,,,-1
341,rId152,,,-1
342,rId154,,,-1
343,rId156,,,-1
344,rId157,,,-1
345,rId162,,,-1
346,rId160,,,-1
347,rId171,,,-1
348,rId174,,,-1
349,rId175,,,-1
350,rId176,,,-1
351,rId185,,,-1
352,rId189,,,-1
353,rId191,,,-1
354,rId193,,,-1
355,rId194,,,-1
356,rId196,,,-1
357,rId202,,,-1
358,rId214,,,-1
359,rId219,,,-1
360,rId227,,,-1
361,rId231,,,-1
362,rId233,,,-1
363,rId234,,,-1
364,rId235,,,-1
365,rId236,,,-1
366,rId237,,,-1
367,rId238,,,-1
368,rId239,,,-1
369,rId240,,,-1
370,rId241,,,-1
371,rId242,,,-1
372,rId243,,,-1
373,rId255,,,-1
374,rId256,,,-1
375,rId257,,,-1
376,rId258,,,-1
377,rId259,,,-1
378,rId260,,,-1
379,rId261,,,-1
380,rId262,,,-1
381,rId263,,,-1
382,rId264,,,-1
383,rId265,,,-1
384,rId266,,,-1
385,rId267,,,-1
386,rId275,,,-1
387,rId283,,,-1
388,rId293,,,-1
389,rId295,,,-1
390,rId296,,,-1
391,rId297,,,-1
392,rId298,,,-1
393,rId299,,,-1
394,rId300,,,-1
395,rId303,,,-1
396,rId325,,,-1
397,rId319,,,-1
398,rId320,,,-1
399,rId321,,,-1
400,rId322,,,-1
401,rId323,,,-1
402,rId324,,,-1
403,rId330,,,-1
404,rId331,,,-1
405,rId332,,,-1
406,rId333,,,-1
407,rId334,,,-1
408,rId335,,,-1
409,rId336,,,-1
410,rId338,,,-1
411,rId341,,,-1
412,rId353,,,-1
413,rId354,,,-1
414,rId355,,,-1
415,rId357,,,-1
416,rId362,,,-1
417,rId364,,,-1
418,rId374,,,-1
419,rId375,,,-1
420,rId376,,,-1
421,rId378,,,-1
422,rId380,,,-1
423,rId381,,,-1
424,rId385,,,-1
425,rId387,,,-1
426,rId390,,,-1
427,rId396,,,-1
428,rId397,,,-1
429,rId399,,,-1
430,rId400,,,-1
431,rId402,,,-1
432,rId403,,,-1
433,rId404,,,-1
434,rId405,,,-1
435,rId412,,,-1
436,ClO4,,,-1
437,rId415,,,-1
438,rId416,,,-1
439,rId417,,,-1
440,rId418,,,-1
441,rId419,,,-1
442,rId420,,,-1
443,rId421,,,-1
444,rId422,,,-1
445,rId423,,,-1
446,rId424,,,-1
447,rId433,,,-1
448,rId425,,,-1
449,rId427,,,-1
450,rId428,,,-1
451,rId429,,,-1
452,rId430,,,-1
453,rId431,,,-1
454,rId435,,,-1
455,rId437,,,-1
456,rId438,,,-1
457,rId439,,,-1
458,rId440,,,-1
459,rId444,,,-1
460,rId445,,,-1
461,rId446,,,-1
462,rId447,,,-1
463,rId448,,,-1
464,rId449,,,-1
465,rId453,,,-1
466,rId456,,,-1
467,rId457,,,-1
468,0,,,-1
469,C1,C3H9N9O7,,0
470,C2,UNKNOWN,,0
471,C3,C4H2N10O4,,0
472,C4,C4H8N12O7,,0
473,C5,C4H2N11O4K,,0
474,C6,C4H6N12O4,,0
475,C7,C4H7N13O4,,0
476,C8,C4H6N12O5,,0
477,C9,C4H3N10O2K,,0
478,C10,C4H7N11O2,,0
479,C11,C4H8N12O2,,0
480,C12,C4H7N11O3,,0
481,C13,C6H2N13O4K,,0
482,C14,C6H6N14O4,,0
483,C15,C6H7N15O4,,0
484,C16,C6H6N14O5,,0
485,C17,C7H9N17O4,,0
486,C18,C7H10N18O4,,0
487,C19,C7H11N19O4,,0
488,C20,C6H7N17O4,,0
489,C21,C6H8N18O4,,0
490,C22,C6H7N17O5,,0
491,C23,C6H3N16O4K,,0
492,C24,C4H7N9O8,,0
493,C25,C4H6N8O8,,0
494,C26,C4H2N7O8K,,0
495,C27,C4H9N9O8,,0
496,C28,C4H9N9O10,,0
497,C29,C4N6O10K2,,0
498,C30,C4H10N10O10,,0
499,C31,C4H8N8O9,,0
500,C32,C4H8N8O11,,0
501,C33,C4H10N10O9,,0
502,C34,C6H18N18O9,,0
503,C35,C6H12N12O9,,0
504,C36,C6H14N14O9,,0
505,C37,C4H10N18O9,,0
506,C38,C3N9O10K2,,0
507,C39,C3H4N10O10,,0
508,C40,C3H4N10O11,,0
509,C41,C3H5N11O8,,0
510,C42,C3N8O8K2,,0
511,C43,C3H8N10O8,,0
512,C44,C3H8N10O10,,0
513,C45,C3H10N12O8,,0
514,C46,C5H1N7O10K2,,0
515,C47,C5H9N9O10,,0
516,C48,C5H11N11O10,,0
517,C49,C4H10N12O4,,0
